GEO_ID,NAME,MedianIncome
310M500US13740,"Billings, MT Metro Area",60962
310M500US13780,"Binghamton, NY Metro Area",53768
310M500US13820,"Birmingham-Hoover, AL Metro Area",58366
310M500US13900,"Bismarck, ND Metro Area",70979
310M500US13980,"Blacksburg-Christiansburg, VA Metro Area",56092
310M500US14010,"Bloomington, IL Metro Area",68784
310M500US14020,"Bloomington, IN Metro Area",52526
310M500US14100,"Bloomsburg-Berwick, PA Metro Area",56672
310M500US14140,"Bluefield, WV-VA Micro Area",42713
310M500US14260,"Boise City, ID Metro Area",66466
310M500US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",94430
310M500US14500,"Boulder, CO Metro Area",88535
310M500US14540,"Bowling Green, KY Metro Area",51198
310M500US14580,"Bozeman, MT Micro Area",75418
310M500US14660,"Brainerd, MN Micro Area",58222
310M500US14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",79624
310M500US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",97053
310M500US15180,"Brownsville-Harlingen, TX Metro Area",41123
310M500US15260,"Brunswick, GA Metro Area",57381
310M500US15380,"Buffalo-Cheektowaga, NY Metro Area",60105
310M500US15500,"Burlington, NC Metro Area",58490
310M500US15540,"Burlington-South Burlington, VT Metro Area",74909
310M500US15680,"California-Lexington Park, MD Metro Area",87947
310M500US15940,"Canton-Massillon, OH Metro Area",55706
310M500US15980,"Cape Coral-Fort Myers, FL Metro Area",62240
310M500US16020,"Cape Girardeau, MO-IL Metro Area",52624
310M500US16060,"Carbondale-Marion, IL Metro Area",46882
310M500US16180,"Carson City, NV Metro Area",57270
310M500US16220,"Casper, WY Metro Area",65034
310M500US16300,"Cedar Rapids, IA Metro Area",64088
310M500US16500,"Centralia, WA Micro Area",58911
310M500US16540,"Chambersburg-Waynesboro, PA Metro Area",62484
310M500US16580,"Champaign-Urbana, IL Metro Area",53081
310M500US16620,"Charleston, WV Metro Area",47500
310M500US16700,"Charleston-North Charleston, SC Metro Area",70505
310M500US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",66399
310M500US16820,"Charlottesville, VA Metro Area",75907
310M500US16860,"Chattanooga, TN-GA Metro Area",55366
310M500US16940,"Cheyenne, WY Metro Area",70567
310M500US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",75379
310M500US17020,"Chico, CA Metro Area",62563
310M500US17060,"Chillicothe, OH Micro Area",55717
310M500US17140,"Cincinnati, OH-KY-IN Metro Area",66825
310M500US17220,"Clarksburg, WV Micro Area",53088
310M500US17300,"Clarksville, TN-KY Metro Area",53547
310M500US17340,"Clearlake, CA Micro Area",47138
310M500US17420,"Cleveland, TN Metro Area",52178
310M500US17460,"Cleveland-Elyria, OH Metro Area",57228
310M500US17660,"Coeur d'Alene, ID Metro Area",62579
310M500US17780,"College Station-Bryan, TX Metro Area",55670
310M500US17820,"Colorado Springs, CO Metro Area",72633
310M500US17860,"Columbia, MO Metro Area",57359
310M500US17900,"Columbia, SC Metro Area",55725
310M500US17980,"Columbus, GA-AL Metro Area",49013
310M500US18020,"Columbus, IN Metro Area",72555
