GEO_ID,NAME,HISPANIC_OR_LATINO_OF_ANY_RACE,WHITE_ALONE_NOT_HISPANIC,BLACK_OR_AFRICAN_AMERICAN_ALONE_NOT_HISPANIC,AMERICAN_INDIAN_OR_ALASKAN_NATIVE_ALONE_NOT_HISPANIC,ASIAN_ALONE_NOT_HISPANIC,NATIVE_HAWAIIAN_OR_PACIFIC_ISLANDER_ALONE_NOT_HISPANIC,SOME_OTHER_RACE_ALONE_NOT_HISPANIC,TWO_RACES_INCLUDING_SOME_OTHER_RACE_NOT_HISPANIC,TWO_OR_MORE_RACES_TWO_RACES_EXCLUDING_SOME_OTHER_RACE_AND_THREE_OR_MORE_RACES_NOT_HISPANIC,
0500000US11001,"District of Columbia, District of Columbia",11.3,37.3,44.1,0.2,4,0,0.3,0.1,2.6,99.9
0500000US12001,"Alachua County, Florida",10.5,60.2,18.7,0.2,5.8,0.5,0.5,0.1,3.4,99.9
0500000US12005,"Bay County, Florida",6.7,75.9,9.6,0.2,2.3,0.8,1.1,0.6,2.9,100.1
0500000US12009,"Brevard County, Florida",10.9,73.6,8.4,0.2,2.5,0.1,0.7,0,3.5,99.9
0500000US12011,"Broward County, Florida",31.1,34.5,27.8,0.2,3.7,0.1,0.5,0.1,2,100
0500000US12015,"Charlotte County, Florida",7.7,83.8,5.3,0.4,1.3,0.1,0.1,0.1,1.2,100
0500000US12017,"Citrus County, Florida",6.1,87.2,3.1,0.3,1.7,0.1,0.3,0,1.2,100
0500000US12019,"Clay County, Florida",10.4,71.6,11.8,0.2,2.8,0,0.5,0,2.6,99.9
0500000US12021,"Collier County, Florida",28.6,62.1,6.7,0.1,1.6,0,0.1,0,0.8,100
0500000US12023,"Columbia County, Florida",6.7,71.3,18.2,0,1.8,0,0.5,0,1.4,99.9
0500000US12031,"Duval County, Florida",10.5,51.6,29.4,0.3,4.6,0,0.4,0.1,3,99.9
0500000US12033,"Escambia County, Florida",5.9,63.8,22,0.2,2.3,0,0.6,0,5.1,99.9
0500000US12035,"Flagler County, Florida",10.9,74.3,8.9,0.3,2.8,0.7,0.1,0.1,1.9,100
0500000US12053,"Hernando County, Florida",14.8,76,5.2,0.2,1,0.1,0.6,0,2.1,100
0500000US12055,"Highlands County, Florida",21.1,N,N,N,N,N,N,N,N,21.1
0500000US12057,"Hillsborough County, Florida",29.7,47.3,15.9,0.1,4,0.1,0.5,0.3,2.2,100.1
0500000US12061,"Indian River County, Florida",12.7,74.7,9.7,0.1,1.1,0,0.2,0,1.4,99.9
0500000US12069,"Lake County, Florida",16.7,68,10.2,0.3,2.1,0,0.7,0.1,1.9,100
0500000US12071,"Lee County, Florida",22.5,66,8.2,0.2,1.6,0.1,0.2,0.1,1.2,100.1
0500000US12073,"Leon County, Florida",6.7,55.8,31,0.2,3.7,0,0.3,0.1,2.3,100.1
0500000US12081,"Manatee County, Florida",16.9,70.3,8.9,0.1,2.1,0,0.4,0,1.3,100
0500000US12083,"Marion County, Florida",14.1,69.4,13,0.4,1.1,0,0.2,0,1.7,99.9
0500000US12085,"Martin County, Florida",14.2,77.7,4.8,0,1.5,0,0,0,1.8,100
0500000US12086,"Miami-Dade County, Florida",69.4,12.8,15.3,0.1,1.5,0,0.3,0,0.6,100
0500000US12087,"Monroe County, Florida",25.3,64.9,7.4,0,1.5,0,0.2,0,0.7,100
0500000US12089,"Nassau County, Florida",4.7,N,N,N,N,N,N,N,N,4.7
0500000US12091,"Okaloosa County, Florida",9.7,73,8.1,0.1,3,0,0.1,0,5.8,99.8
0500000US12095,"Orange County, Florida",32.7,38.8,19.9,0.2,5.3,0.1,0.8,0.1,2.1,100
0500000US12097,"Osceola County, Florida",55.8,29.8,9.4,0,2.7,0,0.3,0.2,1.7,99.9
0500000US12099,"Palm Beach County, Florida",23.4,53.2,18.4,0.1,2.7,0,0.4,0.1,1.7,100
0500000US12101,"Pasco County, Florida",16.5,72.6,5.7,0.3,2.7,0.1,0.1,0.1,2,100.1
0500000US12103,"Pinellas County, Florida",10.2,73.4,9.8,0.2,3.3,0,0.3,0.1,2.7,100
0500000US12105,"Polk County, Florida",24.6,56.6,14.6,0.4,1.7,0,0.5,0.2,1.4,100
0500000US12107,"Putnam County, Florida",10.2,71.2,16.1,0.7,0.7,0,0,0,1.1,100
0500000US12109,"St. Johns County, Florida",7.5,81.6,5.4,0.3,2.4,0.1,0.3,0.2,2.2,100
0500000US12111,"St. Lucie County, Florida",19.9,55.9,18.1,0.3,2.1,0.1,0.5,0,3.2,100.1
0500000US12113,"Santa Rosa County, Florida",5.9,81.9,6.1,0.3,2.4,0.4,0.2,0,2.9,100.1
0500000US12115,"Sarasota County, Florida",9.6,82.7,4,0.1,1.6,0,0.1,0,1.9,100
0500000US12117,"Seminole County, Florida",22.5,58.4,11.4,0.1,4.7,0,0.8,0.1,2.1,100.1
0500000US12119,"Sumter County, Florida",5.9,85.1,6.1,1.1,1,0,0,0.2,0.5,99.9
0500000US12127,"Volusia County, Florida",15,70.6,10.2,0.1,1.9,0,0.2,0,2,100
0500000US12131,"Walton County, Florida",6.5,83.8,3.9,1,0,0,0.3,0.2,4.2,99.9
0500000US13013,"Barrow County, Georgia",12.2,69.3,12.1,0,3.8,0,0,0,2.6,100
0500000US13015,"Bartow County, Georgia",9.2,N,N,N,N,N,N,N,N,9.2
0500000US13021,"Bibb County, Georgia",3.5,37.4,54.3,0,2.2,0.1,0.2,0.2,2.1,100
0500000US13031,"Bulloch County, Georgia",4.2,63,28.1,0.3,1,0,0.3,0,3.1,100
0500000US13045,"Carroll County, Georgia",7.2,69.5,20.1,0.5,1,0,1,0.1,0.6,100
0500000US13047,"Catoosa County, Georgia",2.7,90.5,2.1,0.4,1.5,0,0,0,2.9,100.1
0500000US13051,"Chatham County, Georgia",6.7,47.6,40.6,0.3,2.8,0,0.5,0,1.5,100
0500000US13057,"Cherokee County, Georgia",11.1,77,7.5,0,1.8,0,0.8,0.1,1.7,100
0500000US13059,"Clarke County, Georgia",11,54.8,27.8,0,4.2,0,0.4,0,1.8,100
