GEO_ID,NAME,HIGHSCHOOL_OR_ABOVE
0500000US16027,"Canyon County, Idaho",86.9
0500000US16055,"Kootenai County, Idaho",93.5
0500000US16083,"Twin Falls County, Idaho",85.5
0500000US17001,"Adams County, Illinois",91.1
0500000US17019,"Champaign County, Illinois",93.4
0500000US17031,"Cook County, Illinois",87.9
0500000US17037,"DeKalb County, Illinois",92.8
0500000US17043,"DuPage County, Illinois",93.9
0500000US17089,"Kane County, Illinois",86
0500000US17091,"Kankakee County, Illinois",90.4
0500000US17093,"Kendall County, Illinois",92.7
0500000US17097,"Lake County, Illinois",90.4
0500000US17099,"LaSalle County, Illinois",89.3
0500000US17111,"McHenry County, Illinois",93.5
0500000US17113,"McLean County, Illinois",94.5
0500000US17115,"Macon County, Illinois",93.4
0500000US17119,"Madison County, Illinois",93.4
0500000US17143,"Peoria County, Illinois",93.2
0500000US17161,"Rock Island County, Illinois",88.6
0500000US17163,"St. Clair County, Illinois",91.5
0500000US17167,"Sangamon County, Illinois",93
0500000US17179,"Tazewell County, Illinois",94.3
0500000US17183,"Vermilion County, Illinois",89.7
0500000US17197,"Will County, Illinois",91.4
0500000US17199,"Williamson County, Illinois",93.3
0500000US17201,"Winnebago County, Illinois",88.8
0500000US18003,"Allen County, Indiana",89.5
0500000US18005,"Bartholomew County, Indiana",91
0500000US18011,"Boone County, Indiana",92.3
0500000US18019,"Clark County, Indiana",90.7
0500000US18035,"Delaware County, Indiana",92.2
0500000US18039,"Elkhart County, Indiana",82.4
0500000US18043,"Floyd County, Indiana",92
0500000US18053,"Grant County, Indiana",88.8
0500000US18057,"Hamilton County, Indiana",97.2
0500000US18059,"Hancock County, Indiana",89.5
0500000US18063,"Hendricks County, Indiana",95.2
0500000US18067,"Howard County, Indiana",89.8
0500000US18081,"Johnson County, Indiana",92.5
0500000US18085,"Kosciusko County, Indiana",86.6
0500000US18089,"Lake County, Indiana",89.7
0500000US18091,"LaPorte County, Indiana",88.6
0500000US18095,"Madison County, Indiana",88.5
0500000US18097,"Marion County, Indiana",87.2
0500000US18105,"Monroe County, Indiana",95.3
0500000US18109,"Morgan County, Indiana",90.5
0500000US18127,"Porter County, Indiana",94.9
0500000US18141,"St. Joseph County, Indiana",90.3
0500000US18157,"Tippecanoe County, Indiana",90.6
0500000US18163,"Vanderburgh County, Indiana",90.7
0500000US18167,"Vigo County, Indiana",92.2
0500000US18177,"Wayne County, Indiana",88
0500000US19013,"Black Hawk County, Iowa",92.9
0500000US19049,"Dallas County, Iowa",96.7
0500000US19061,"Dubuque County, Iowa",94.3
0500000US19103,"Johnson County, Iowa",94.2
0500000US19113,"Linn County, Iowa",94.1
0500000US19153,"Polk County, Iowa",92.2
0500000US19155,"Pottawattamie County, Iowa",90.9
0500000US19163,"Scott County, Iowa",92.8
0500000US19169,"Story County, Iowa",97.4
0500000US19193,"Woodbury County, Iowa",86
0500000US20015,"Butler County, Kansas",93
0500000US20045,"Douglas County, Kansas",95
0500000US20091,"Johnson County, Kansas",96.1
0500000US20103,"Leavenworth County, Kansas",92.7
0500000US20161,"Riley County, Kansas",96.9
0500000US20173,"Sedgwick County, Kansas",90.3
0500000US20177,"Shawnee County, Kansas",93.7
0500000US20209,"Wyandotte County, Kansas",80.6
0500000US21015,"Boone County, Kentucky",92.2
0500000US21029,"Bullitt County, Kentucky",88.4
0500000US21037,"Campbell County, Kentucky",91.5
0500000US21047,"Christian County, Kentucky",85.2
0500000US21059,"Daviess County, Kentucky",87.1
0500000US21067,"Fayette County, Kentucky",92.5
0500000US21093,"Hardin County, Kentucky",91.6
0500000US21111,"Jefferson County, Kentucky",91.5
0500000US21117,"Kenton County, Kentucky",91
0500000US21145,"McCracken County, Kentucky",89.3
0500000US21151,"Madison County, Kentucky",91.1
0500000US21185,"Oldham County, Kentucky",93.9
0500000US21227,"Warren County, Kentucky",89.5
0500000US22005,"Ascension Parish, Louisiana",92.2
0500000US22015,"Bossier Parish, Louisiana",90.6
0500000US22017,"Caddo Parish, Louisiana",86.6
0500000US22019,"Calcasieu Parish, Louisiana",86.1
0500000US22033,"East Baton Rouge Parish, Louisiana",91
0500000US22045,"Iberia Parish, Louisiana",84.5
0500000US22051,"Jefferson Parish, Louisiana",87.6
0500000US22055,"Lafayette Parish, Louisiana",89.9
0500000US22057,"Lafourche Parish, Louisiana",78.2
0500000US22063,"Livingston Parish, Louisiana",82.2
0500000US22071,"Orleans Parish, Louisiana",87.6
0500000US22073,"Ouachita Parish, Louisiana",86.8
0500000US22079,"Rapides Parish, Louisiana",86.1
0500000US22097,"St. Landry Parish, Louisiana",77
0500000US22103,"St. Tammany Parish, Louisiana",91.2
0500000US22105,"Tangipahoa Parish, Louisiana",84.6
0500000US22109,"Terrebonne Parish, Louisiana",80.8
0500000US23001,"Androscoggin County, Maine",91.1
0500000US23003,"Aroostook County, Maine",91
0500000US23005,"Cumberland County, Maine",94.9
0500000US23011,"Kennebec County, Maine",93.3
0500000US23019,"Penobscot County, Maine",93
0500000US23031,"York County, Maine",93.5
0500000US24001,"Allegany County, Maryland",89.9
0500000US24003,"Anne Arundel County, Maryland",93
0500000US24005,"Baltimore County, Maryland",92.1
0500000US24009,"Calvert County, Maryland",95.7
0500000US24013,"Carroll County, Maryland",94.8
0500000US24015,"Cecil County, Maryland",91.1
0500000US24017,"Charles County, Maryland",92.8
0500000US24021,"Frederick County, Maryland",92.4
0500000US24025,"Harford County, Maryland",93.8
0500000US24027,"Howard County, Maryland",95.2
0500000US24031,"Montgomery County, Maryland",90.2
0500000US24033,"Prince George's County, Maryland",86.6
0500000US24037,"St. Mary's County, Maryland",90.3
0500000US24043,"Washington County, Maryland",87.9
0500000US24045,"Wicomico County, Maryland",85.4
0500000US24510,"Baltimore city, Maryland",85.7
0500000US25001,"Barnstable County, Massachusetts",96.5
0500000US25003,"Berkshire County, Massachusetts",92.2
0500000US25005,"Bristol County, Massachusetts",86.3
0500000US25009,"Essex County, Massachusetts",89.3
0500000US25011,"Franklin County, Massachusetts",92.1
0500000US25013,"Hampden County, Massachusetts",86.8
0500000US25015,"Hampshire County, Massachusetts",94.8
0500000US25017,"Middlesex County, Massachusetts",93.9
0500000US25021,"Norfolk County, Massachusetts",93.8
0500000US25023,"Plymouth County, Massachusetts",93
0500000US25025,"Suffolk County, Massachusetts",87.9
0500000US25027,"Worcester County, Massachusetts",91.9
0500000US26005,"Allegan County, Michigan",92.1
0500000US26017,"Bay County, Michigan",92.9
0500000US26021,"Berrien County, Michigan",90.4
0500000US26025,"Calhoun County, Michigan",90.6
0500000US26037,"Clinton County, Michigan",95.1
0500000US26045,"Eaton County, Michigan",95.4
0500000US26049,"Genesee County, Michigan",90.4
0500000US26055,"Grand Traverse County, Michigan",94.8
0500000US26065,"Ingham County, Michigan",93.7
0500000US26073,"Isabella County, Michigan",91.1
0500000US26075,"Jackson County, Michigan",90.2
0500000US26077,"Kalamazoo County, Michigan",92.4
0500000US26081,"Kent County, Michigan",91.6
0500000US26087,"Lapeer County, Michigan",91.4
0500000US26091,"Lenawee County, Michigan",90.2
0500000US26093,"Livingston County, Michigan",94.9
0500000US26099,"Macomb County, Michigan",90.7
0500000US26103,"Marquette County, Michigan",95.2
0500000US26111,"Midland County, Michigan",94.3
0500000US26115,"Monroe County, Michigan",91
0500000US26121,"Muskegon County, Michigan",92.1
0500000US26125,"Oakland County, Michigan",94.9
0500000US26139,"Ottawa County, Michigan",92.8
0500000US26145,"Saginaw County, Michigan",89.8
0500000US26147,"St. Clair County, Michigan",91.7
0500000US26155,"Shiawassee County, Michigan",91.7
0500000US26159,"Van Buren County, Michigan",88.3
0500000US26161,"Washtenaw County, Michigan",95.3
0500000US26163,"Wayne County, Michigan",87.8
0500000US27003,"Anoka County, Minnesota",94.3
0500000US27013,"Blue Earth County, Minnesota",96.2
0500000US27019,"Carver County, Minnesota",93.9
0500000US27035,"Crow Wing County, Minnesota",95.1
0500000US27037,"Dakota County, Minnesota",95.5
0500000US27053,"Hennepin County, Minnesota",94.1
0500000US27109,"Olmsted County, Minnesota",94.7
0500000US27123,"Ramsey County, Minnesota",91.3
0500000US27131,"Rice County, Minnesota",93.6
0500000US27137,"St. Louis County, Minnesota",94.8
0500000US27139,"Scott County, Minnesota",94.2
0500000US27141,"Sherburne County, Minnesota",95
0500000US27145,"Stearns County, Minnesota",90.5
0500000US27163,"Washington County, Minnesota",96.4
0500000US27171,"Wright County, Minnesota",96.3
0500000US28033,"DeSoto County, Mississippi",90.2
0500000US28035,"Forrest County, Mississippi",88.7
0500000US28047,"Harrison County, Mississippi",89.3
0500000US28049,"Hinds County, Mississippi",88.1
0500000US28059,"Jackson County, Mississippi",90.2
0500000US28067,"Jones County, Mississippi",86.3
0500000US28075,"Lauderdale County, Mississippi",80.6
0500000US28081,"Lee County, Mississippi",83.7
0500000US28089,"Madison County, Mississippi",91.3
0500000US28121,"Rankin County, Mississippi",89.8
0500000US29019,"Boone County, Missouri",93.6
0500000US29021,"Buchanan County, Missouri",89.6
0500000US29031,"Cape Girardeau County, Missouri",91
0500000US29037,"Cass County, Missouri",93.5
0500000US29043,"Christian County, Missouri",90.3
0500000US29047,"Clay County, Missouri",94.1
0500000US29051,"Cole County, Missouri",92
0500000US29071,"Franklin County, Missouri",89.4
0500000US29077,"Greene County, Missouri",91.6
0500000US29095,"Jackson County, Missouri",91.5
0500000US29097,"Jasper County, Missouri",85.4
0500000US29099,"Jefferson County, Missouri",89.6
0500000US29165,"Platte County, Missouri",95.9
0500000US29183,"St. Charles County, Missouri",94.3
0500000US29187,"St. Francois County, Missouri",86.6
0500000US29189,"St. Louis County, Missouri",94
0500000US29510,"St. Louis city, Missouri",89.5
0500000US30013,"Cascade County, Montana",92.7
0500000US30029,"Flathead County, Montana",96
0500000US30031,"Gallatin County, Montana",97.8
0500000US30049,"Lewis and Clark County, Montana",96.7
0500000US30063,"Missoula County, Montana",95.7
0500000US30111,"Yellowstone County, Montana",93.6
0500000US31055,"Douglas County, Nebraska",91.6
0500000US31109,"Lancaster County, Nebraska",93.1
0500000US31153,"Sarpy County, Nebraska",96.4
0500000US32003,"Clark County, Nevada",86.3
0500000US32031,"Washoe County, Nevada",88.7
0500000US33005,"Cheshire County, New Hampshire",94.2
0500000US33009,"Grafton County, New Hampshire",91.3
0500000US33011,"Hillsborough County, New Hampshire",92.3
0500000US33013,"Merrimack County, New Hampshire",91.9
0500000US33015,"Rockingham County, New Hampshire",96
0500000US33017,"Strafford County, New Hampshire",93.7
0500000US34001,"Atlantic County, New Jersey",87.6
0500000US34003,"Bergen County, New Jersey",92.9
0500000US34005,"Burlington County, New Jersey",94.1
0500000US34007,"Camden County, New Jersey",89.7
0500000US34009,"Cape May County, New Jersey",93.5
0500000US34011,"Cumberland County, New Jersey",81.2
0500000US34013,"Essex County, New Jersey",86.8
0500000US34015,"Gloucester County, New Jersey",93
0500000US34017,"Hudson County, New Jersey",85.7
0500000US34019,"Hunterdon County, New Jersey",94.3
0500000US34021,"Mercer County, New Jersey",88.8
0500000US34023,"Middlesex County, New Jersey",88.9
0500000US34025,"Monmouth County, New Jersey",94.8
0500000US34027,"Morris County, New Jersey",94.8
0500000US34029,"Ocean County, New Jersey",92.9
0500000US34031,"Passaic County, New Jersey",85.4
0500000US34033,"Salem County, New Jersey",87.7
0500000US34035,"Somerset County, New Jersey",94.5
0500000US34037,"Sussex County, New Jersey",94.4
0500000US34039,"Union County, New Jersey",86.3
0500000US34041,"Warren County, New Jersey",93.4
0500000US35001,"Bernalillo County, New Mexico",88.9
0500000US35005,"Chaves County, New Mexico",76.6
0500000US35013,"Doña Ana County, New Mexico",78
0500000US35025,"Lea County, New Mexico",75.6
0500000US35031,"McKinley County, New Mexico",78.8
0500000US35035,"Otero County, New Mexico",84.9
0500000US35043,"Sandoval County, New Mexico",92.8
0500000US35045,"San Juan County, New Mexico",85.6
0500000US35049,"Santa Fe County, New Mexico",88.2
0500000US35061,"Valencia County, New Mexico",87.2
0500000US36001,"Albany County, New York",92
0500000US36005,"Bronx County, New York",74.4
0500000US36007,"Broome County, New York",90.4
0500000US36009,"Cattaraugus County, New York",90.7
0500000US36011,"Cayuga County, New York",87.2
0500000US36013,"Chautauqua County, New York",89.8
0500000US36015,"Chemung County, New York",92.1
0500000US36019,"Clinton County, New York",87.2
0500000US36027,"Dutchess County, New York",92.2
0500000US36029,"Erie County, New York",93
0500000US36045,"Jefferson County, New York",90.8
0500000US36047,"Kings County, New York",83.8
0500000US36051,"Livingston County, New York",91.2
0500000US36053,"Madison County, New York",93.5
0500000US36055,"Monroe County, New York",90.8
0500000US36059,"Nassau County, New York",91.9
0500000US36061,"New York County, New York",87.8
0500000US36063,"Niagara County, New York",91.9
0500000US36065,"Oneida County, New York",88.6
0500000US36067,"Onondaga County, New York",91.5
0500000US36069,"Ontario County, New York",93.5
0500000US36071,"Orange County, New York",89.6
0500000US36075,"Oswego County, New York",88.7
0500000US36079,"Putnam County, New York",92.2
0500000US36081,"Queens County, New York",83
0500000US36083,"Rensselaer County, New York",91.6
0500000US36085,"Richmond County, New York",89
0500000US36087,"Rockland County, New York",88.9
0500000US36089,"St. Lawrence County, New York",87.2
0500000US36091,"Saratoga County, New York",93.8
0500000US36093,"Schenectady County, New York",92.8
0500000US36101,"Steuben County, New York",91.4
0500000US36103,"Suffolk County, New York",90.9
0500000US36105,"Sullivan County, New York",87.6
0500000US36109,"Tompkins County, New York",95.5
0500000US36111,"Ulster County, New York",90.8
0500000US36113,"Warren County, New York",90.7
0500000US36117,"Wayne County, New York",89.8
0500000US36119,"Westchester County, New York",89.9
0500000US37001,"Alamance County, North Carolina",87.3
0500000US37019,"Brunswick County, North Carolina",93.3
0500000US37021,"Buncombe County, North Carolina",92
0500000US37023,"Burke County, North Carolina",82.3
0500000US37025,"Cabarrus County, North Carolina",90.9
0500000US37027,"Caldwell County, North Carolina",78.8
0500000US37031,"Carteret County, North Carolina",90.9
0500000US37035,"Catawba County, North Carolina",86.5
0500000US37037,"Chatham County, North Carolina",87.2
0500000US37045,"Cleveland County, North Carolina",85
0500000US37049,"Craven County, North Carolina",90.3
0500000US37051,"Cumberland County, North Carolina",91
0500000US37057,"Davidson County, North Carolina",85.6
0500000US37063,"Durham County, North Carolina",89.2
0500000US37067,"Forsyth County, North Carolina",88.8
0500000US37069,"Franklin County, North Carolina",89.5
0500000US37071,"Gaston County, North Carolina",85.3
0500000US37081,"Guilford County, North Carolina",88.4
0500000US37085,"Harnett County, North Carolina",89.1
0500000US37089,"Henderson County, North Carolina",90.5
0500000US37097,"Iredell County, North Carolina",90.2
0500000US37101,"Johnston County, North Carolina",87.5
0500000US37109,"Lincoln County, North Carolina",92.1
0500000US37119,"Mecklenburg County, North Carolina",90.3
0500000US37125,"Moore County, North Carolina",91.2
0500000US37127,"Nash County, North Carolina",85.9
0500000US37129,"New Hanover County, North Carolina",93
0500000US37133,"Onslow County, North Carolina",91.7
0500000US37135,"Orange County, North Carolina",94.5
0500000US37147,"Pitt County, North Carolina",88.3
0500000US37151,"Randolph County, North Carolina",81.5
0500000US37155,"Robeson County, North Carolina",78.1
0500000US37157,"Rockingham County, North Carolina",82.8
0500000US37159,"Rowan County, North Carolina",86.3
0500000US37161,"Rutherford County, North Carolina",87
0500000US37171,"Surry County, North Carolina",82.2
0500000US37179,"Union County, North Carolina",90.8
0500000US37183,"Wake County, North Carolina",93.3
0500000US37191,"Wayne County, North Carolina",85.8
0500000US37193,"Wilkes County, North Carolina",82.6
0500000US37195,"Wilson County, North Carolina",81.5
0500000US38015,"Burleigh County, North Dakota",94.2
0500000US38017,"Cass County, North Dakota",95.3
0500000US38035,"Grand Forks County, North Dakota",96.4
0500000US38101,"Ward County, North Dakota",96.6
0500000US39003,"Allen County, Ohio",90.9
0500000US39007,"Ashtabula County, Ohio",88.1
0500000US39009,"Athens County, Ohio",92.7
0500000US39013,"Belmont County, Ohio",90.6
0500000US39017,"Butler County, Ohio",91.5
0500000US39023,"Clark County, Ohio",90.4
0500000US39025,"Clermont County, Ohio",90.7
0500000US39029,"Columbiana County, Ohio",91.7
0500000US39035,"Cuyahoga County, Ohio",90.2
0500000US39041,"Delaware County, Ohio",96.3
0500000US39043,"Erie County, Ohio",92.4
0500000US39045,"Fairfield County, Ohio",93.7
0500000US39049,"Franklin County, Ohio",91.3
0500000US39055,"Geauga County, Ohio",89.2
0500000US39057,"Greene County, Ohio",95.3
0500000US39061,"Hamilton County, Ohio",91.9
0500000US39063,"Hancock County, Ohio",91.8
0500000US39081,"Jefferson County, Ohio",93.1
0500000US39085,"Lake County, Ohio",92.4
0500000US39089,"Licking County, Ohio",91.3
0500000US39093,"Lorain County, Ohio",89.5
0500000US39095,"Lucas County, Ohio",89.1
0500000US39099,"Mahoning County, Ohio",90.7
0500000US39101,"Marion County, Ohio",88.7
0500000US39103,"Medina County, Ohio",95.3
0500000US39109,"Miami County, Ohio",91.6
0500000US39113,"Montgomery County, Ohio",90.3
0500000US39119,"Muskingum County, Ohio",86.7
0500000US39133,"Portage County, Ohio",92
0500000US39139,"Richland County, Ohio",88.7
0500000US39141,"Ross County, Ohio",90.3
0500000US39145,"Scioto County, Ohio",85.5
0500000US39151,"Stark County, Ohio",91.5
0500000US39153,"Summit County, Ohio",92.5
0500000US39155,"Trumbull County, Ohio",88.6
0500000US39157,"Tuscarawas County, Ohio",84.5
0500000US39165,"Warren County, Ohio",95.2
0500000US39169,"Wayne County, Ohio",85.2
0500000US39173,"Wood County, Ohio",95.1
0500000US40017,"Canadian County, Oklahoma",88.5
0500000US40027,"Cleveland County, Oklahoma",92.3
0500000US40031,"Comanche County, Oklahoma",90.8
0500000US40037,"Creek County, Oklahoma",88.5
0500000US40101,"Muskogee County, Oklahoma",86.3
0500000US40109,"Oklahoma County, Oklahoma",87.9
0500000US40119,"Payne County, Oklahoma",93.9
0500000US40125,"Pottawatomie County, Oklahoma",88.7
0500000US40131,"Rogers County, Oklahoma",90.9
0500000US40143,"Tulsa County, Oklahoma",89.7
0500000US40145,"Wagoner County, Oklahoma",91.1
0500000US41003,"Benton County, Oregon",97.4
0500000US41005,"Clackamas County, Oregon",93.6
0500000US41017,"Deschutes County, Oregon",93.2
0500000US41019,"Douglas County, Oregon",92.3
0500000US41029,"Jackson County, Oregon",90.6
0500000US41033,"Josephine County, Oregon",89.2
0500000US41035,"Klamath County, Oregon",89.9
0500000US41039,"Lane County, Oregon",92.8
0500000US41043,"Linn County, Oregon",87.7
0500000US41047,"Marion County, Oregon",85.4
0500000US41051,"Multnomah County, Oregon",91.9
0500000US41053,"Polk County, Oregon",93.3
0500000US41059,"Umatilla County, Oregon",86.7
0500000US41067,"Washington County, Oregon",93.5
0500000US41071,"Yamhill County, Oregon",88
0500000US42001,"Adams County, Pennsylvania",89.1
0500000US42003,"Allegheny County, Pennsylvania",95.2
0500000US42005,"Armstrong County, Pennsylvania",92.3
0500000US42007,"Beaver County, Pennsylvania",92.5
0500000US42011,"Berks County, Pennsylvania",87.2
