GEO_ID,NAME,PERCENT_BELOW_POVERTY
0500000US24017,"Charles County, Maryland",5.5
0500000US24021,"Frederick County, Maryland",5.6
0500000US24025,"Harford County, Maryland",6.7
0500000US24027,"Howard County, Maryland",4.8
0500000US24031,"Montgomery County, Maryland",7.4
0500000US24033,"Prince George's County, Maryland",8.6
0500000US24037,"St. Mary's County, Maryland",7.3
0500000US24043,"Washington County, Maryland",13
0500000US24045,"Wicomico County, Maryland",17.8
0500000US24510,"Baltimore city, Maryland",20.2
0500000US25001,"Barnstable County, Massachusetts",5.2
0500000US25003,"Berkshire County, Massachusetts",10.8
0500000US25005,"Bristol County, Massachusetts",11.4
0500000US25009,"Essex County, Massachusetts",8.7
0500000US25011,"Franklin County, Massachusetts",8.4
0500000US25013,"Hampden County, Massachusetts",13.7
0500000US25015,"Hampshire County, Massachusetts",11.2
0500000US25017,"Middlesex County, Massachusetts",6.9
0500000US25021,"Norfolk County, Massachusetts",5.7
0500000US25023,"Plymouth County, Massachusetts",7.2
0500000US25025,"Suffolk County, Massachusetts",16.8
0500000US25027,"Worcester County, Massachusetts",9.4
0500000US26005,"Allegan County, Michigan",12
0500000US26017,"Bay County, Michigan",13.9
0500000US26021,"Berrien County, Michigan",16.2
0500000US26025,"Calhoun County, Michigan",13.4
0500000US26037,"Clinton County, Michigan",8.5
0500000US26045,"Eaton County, Michigan",6.6
0500000US26049,"Genesee County, Michigan",16.5
0500000US26055,"Grand Traverse County, Michigan",6.1
0500000US26065,"Ingham County, Michigan",17.7
0500000US26073,"Isabella County, Michigan",25.4
0500000US26075,"Jackson County, Michigan",14
0500000US26077,"Kalamazoo County, Michigan",13.4
0500000US26081,"Kent County, Michigan",11.3
0500000US26087,"Lapeer County, Michigan",10.9
0500000US26091,"Lenawee County, Michigan",12.8
0500000US26093,"Livingston County, Michigan",3.9
0500000US26099,"Macomb County, Michigan",8.4
0500000US26103,"Marquette County, Michigan",11.4
0500000US26111,"Midland County, Michigan",9.3
0500000US26115,"Monroe County, Michigan",10.8
0500000US26121,"Muskegon County, Michigan",12.9
0500000US26125,"Oakland County, Michigan",7.7
0500000US26139,"Ottawa County, Michigan",8.3
0500000US26145,"Saginaw County, Michigan",19
0500000US26147,"St. Clair County, Michigan",10
0500000US26155,"Shiawassee County, Michigan",10.7
0500000US26159,"Van Buren County, Michigan",12.6
0500000US26161,"Washtenaw County, Michigan",13.4
0500000US26163,"Wayne County, Michigan",19.6
0500000US27003,"Anoka County, Minnesota",6.1
0500000US27013,"Blue Earth County, Minnesota",17.6
0500000US27019,"Carver County, Minnesota",4.7
0500000US27035,"Crow Wing County, Minnesota",10.9
0500000US27037,"Dakota County, Minnesota",6.6
0500000US27053,"Hennepin County, Minnesota",9.6
0500000US27109,"Olmsted County, Minnesota",6.3
0500000US27123,"Ramsey County, Minnesota",12.3
0500000US27131,"Rice County, Minnesota",7.1
0500000US27137,"St. Louis County, Minnesota",12.8
0500000US27139,"Scott County, Minnesota",3.7
0500000US27141,"Sherburne County, Minnesota",5.5
0500000US27145,"Stearns County, Minnesota",12
0500000US27163,"Washington County, Minnesota",4.7
0500000US27171,"Wright County, Minnesota",5.3
0500000US28033,"DeSoto County, Mississippi",9.6
0500000US28035,"Forrest County, Mississippi",24.7
0500000US28047,"Harrison County, Mississippi",16.9
0500000US28049,"Hinds County, Mississippi",18.9
0500000US28059,"Jackson County, Mississippi",15
0500000US28067,"Jones County, Mississippi",27.7
0500000US28075,"Lauderdale County, Mississippi",20.9
0500000US28081,"Lee County, Mississippi",14.2
0500000US28089,"Madison County, Mississippi",8.7
0500000US28121,"Rankin County, Mississippi",11.6
0500000US29019,"Boone County, Missouri",19.6
0500000US29021,"Buchanan County, Missouri",16.5
0500000US29031,"Cape Girardeau County, Missouri",16.2
0500000US29037,"Cass County, Missouri",8.3
0500000US29043,"Christian County, Missouri",12.4
0500000US29047,"Clay County, Missouri",10.5
0500000US29051,"Cole County, Missouri",11.2
0500000US29071,"Franklin County, Missouri",8.9
0500000US29077,"Greene County, Missouri",14.5
0500000US29095,"Jackson County, Missouri",13.5
0500000US29097,"Jasper County, Missouri",20.6
0500000US29099,"Jefferson County, Missouri",7.8
0500000US29165,"Platte County, Missouri",4.5
0500000US29183,"St. Charles County, Missouri",4.2
0500000US29187,"St. Francois County, Missouri",16.5
0500000US29189,"St. Louis County, Missouri",9
0500000US29510,"St. Louis city, Missouri",19.1
0500000US30013,"Cascade County, Montana",15.4
0500000US30029,"Flathead County, Montana",7.8
0500000US30031,"Gallatin County, Montana",11.9
0500000US30049,"Lewis and Clark County, Montana",8.3
0500000US30063,"Missoula County, Montana",11.5
0500000US30111,"Yellowstone County, Montana",11.9
0500000US31055,"Douglas County, Nebraska",10.2
0500000US31109,"Lancaster County, Nebraska",10.9
0500000US31153,"Sarpy County, Nebraska",6.6
0500000US32003,"Clark County, Nevada",12.8
0500000US32031,"Washoe County, Nevada",10.5
0500000US33005,"Cheshire County, New Hampshire",9.8
0500000US33009,"Grafton County, New Hampshire",8.6
0500000US33011,"Hillsborough County, New Hampshire",7.3
0500000US33013,"Merrimack County, New Hampshire",5.4
0500000US33015,"Rockingham County, New Hampshire",4.9
0500000US33017,"Strafford County, New Hampshire",8.3
0500000US34001,"Atlantic County, New Jersey",11.1
0500000US34003,"Bergen County, New Jersey",5.6
0500000US34005,"Burlington County, New Jersey",5.5
0500000US34007,"Camden County, New Jersey",10.7
0500000US34009,"Cape May County, New Jersey",8.8
0500000US34011,"Cumberland County, New Jersey",13.2
0500000US34013,"Essex County, New Jersey",13.9
0500000US34015,"Gloucester County, New Jersey",7.7
0500000US34017,"Hudson County, New Jersey",13.9
0500000US34019,"Hunterdon County, New Jersey",3.6
0500000US34021,"Mercer County, New Jersey",12.8
0500000US34023,"Middlesex County, New Jersey",8.8
0500000US34025,"Monmouth County, New Jersey",6
0500000US34027,"Morris County, New Jersey",5.5
0500000US34029,"Ocean County, New Jersey",9
0500000US34031,"Passaic County, New Jersey",13.4
0500000US34033,"Salem County, New Jersey",12.4
0500000US34035,"Somerset County, New Jersey",5.7
0500000US34037,"Sussex County, New Jersey",4.7
0500000US34039,"Union County, New Jersey",9.1
0500000US34041,"Warren County, New Jersey",6.8
0500000US35001,"Bernalillo County, New Mexico",16.2
0500000US35005,"Chaves County, New Mexico",18
0500000US35013,"Doña Ana County, New Mexico",25.9
0500000US35025,"Lea County, New Mexico",16.4
0500000US35031,"McKinley County, New Mexico",32.4
0500000US35035,"Otero County, New Mexico",23.7
0500000US35043,"Sandoval County, New Mexico",9.4
0500000US35045,"San Juan County, New Mexico",21.2
0500000US35049,"Santa Fe County, New Mexico",13
0500000US35061,"Valencia County, New Mexico",19.5
0500000US36001,"Albany County, New York",11.9
0500000US36005,"Bronx County, New York",26.4
0500000US36007,"Broome County, New York",18.8
0500000US36009,"Cattaraugus County, New York",14.5
0500000US36011,"Cayuga County, New York",14.6
0500000US36013,"Chautauqua County, New York",16.4
0500000US36015,"Chemung County, New York",13.9
0500000US36019,"Clinton County, New York",16.5
0500000US36027,"Dutchess County, New York",8.3
0500000US36029,"Erie County, New York",13.3
0500000US36045,"Jefferson County, New York",15.5
0500000US36047,"Kings County, New York",17.7
0500000US36051,"Livingston County, New York",15.2
0500000US36053,"Madison County, New York",8.2
0500000US36055,"Monroe County, New York",12.7
0500000US36059,"Nassau County, New York",5.4
0500000US36061,"New York County, New York",14
0500000US36063,"Niagara County, New York",12.5
0500000US36065,"Oneida County, New York",14.4
0500000US36067,"Onondaga County, New York",14.1
0500000US36069,"Ontario County, New York",7.7
0500000US36071,"Orange County, New York",12.5
0500000US36075,"Oswego County, New York",16.3
0500000US36079,"Putnam County, New York",4.1
0500000US36081,"Queens County, New York",10.8
0500000US36083,"Rensselaer County, New York",12
0500000US36085,"Richmond County, New York",8.3
0500000US36087,"Rockland County, New York",12.7
0500000US36089,"St. Lawrence County, New York",19.9
0500000US36091,"Saratoga County, New York",5.4
0500000US36093,"Schenectady County, New York",12.4
0500000US36101,"Steuben County, New York",15.8
0500000US36103,"Suffolk County, New York",6.5
0500000US36105,"Sullivan County, New York",16
0500000US36109,"Tompkins County, New York",17.9
0500000US36111,"Ulster County, New York",11.9
0500000US36113,"Warren County, New York",9.7
0500000US36117,"Wayne County, New York",12.6
0500000US36119,"Westchester County, New York",8.2
0500000US37001,"Alamance County, North Carolina",15.3
0500000US37019,"Brunswick County, North Carolina",9.4
0500000US37021,"Buncombe County, North Carolina",12.2
0500000US37023,"Burke County, North Carolina",21
0500000US37025,"Cabarrus County, North Carolina",7.3
0500000US37027,"Caldwell County, North Carolina",10
0500000US37031,"Carteret County, North Carolina",8.9
0500000US37035,"Catawba County, North Carolina",14.9
0500000US37037,"Chatham County, North Carolina",8.4
0500000US37045,"Cleveland County, North Carolina",21.3
0500000US37049,"Craven County, North Carolina",13.8
0500000US37051,"Cumberland County, North Carolina",18.1
0500000US37057,"Davidson County, North Carolina",17.5
0500000US37063,"Durham County, North Carolina",14.1
0500000US37067,"Forsyth County, North Carolina",15.5
0500000US37069,"Franklin County, North Carolina",8.8
0500000US37071,"Gaston County, North Carolina",11
0500000US37081,"Guilford County, North Carolina",16.4
0500000US37085,"Harnett County, North Carolina",16.9
0500000US37089,"Henderson County, North Carolina",10.5
0500000US37097,"Iredell County, North Carolina",7.4
0500000US37101,"Johnston County, North Carolina",13.6
0500000US37109,"Lincoln County, North Carolina",7.4
0500000US37119,"Mecklenburg County, North Carolina",10.2
0500000US37125,"Moore County, North Carolina",11.8
0500000US37127,"Nash County, North Carolina",16.9
0500000US37129,"New Hanover County, North Carolina",13
0500000US37133,"Onslow County, North Carolina",11.1
0500000US37135,"Orange County, North Carolina",14.1
0500000US37147,"Pitt County, North Carolina",19.6
0500000US37151,"Randolph County, North Carolina",14.7
0500000US37155,"Robeson County, North Carolina",31.9
0500000US37157,"Rockingham County, North Carolina",20.4
0500000US37159,"Rowan County, North Carolina",13.7
0500000US37161,"Rutherford County, North Carolina",20.3
0500000US37171,"Surry County, North Carolina",16.6
0500000US37179,"Union County, North Carolina",7
0500000US37183,"Wake County, North Carolina",8
0500000US37191,"Wayne County, North Carolina",19.4
0500000US37193,"Wilkes County, North Carolina",14.8
0500000US37195,"Wilson County, North Carolina",23.7
0500000US38015,"Burleigh County, North Dakota",6.1
0500000US38017,"Cass County, North Dakota",12.6
0500000US38035,"Grand Forks County, North Dakota",15.7
0500000US38101,"Ward County, North Dakota",8.7
0500000US39003,"Allen County, Ohio",12
0500000US39007,"Ashtabula County, Ohio",21.6
0500000US39009,"Athens County, Ohio",27.4
0500000US39013,"Belmont County, Ohio",10.2
0500000US39017,"Butler County, Ohio",12
0500000US39023,"Clark County, Ohio",14.6
0500000US39025,"Clermont County, Ohio",7.9
0500000US39029,"Columbiana County, Ohio",12.4
0500000US39035,"Cuyahoga County, Ohio",16.1
